year month	day	rock	scissors	paper
2008 10 26 0 0 1
2008 11 2 0 1 0
2008 11 9 0 1 0
2008 11 16 0 1 0
2008 11 23 0 0 1
2008 11 30 0 1 0
2008 12 7 1 0 0
2008 12 14 0 1 0
2008 12 21 0 0 1
2008 12 28 1 0 0
2009 1 4 0 1 0
2009 1 11 0 1 0
2009 1 18 0 0 1
2009 1 25 0 0 1
2009 2 1 1 0 0
2009 2 8 0 1 0
2009 2 15 1 0 0
2009 2 22 1 0 0
2009 3 1 0 0 1
2009 3 8 0 0 1
2009 3 15 1 0 0
2009 3 29 1 0 0
2009 4 5 0 1 0
2009 4 12 0 0 1
2009 4 19 1 0 0
2009 4 26 0 0 1
2009 5 3 0 0 1
2009 5 10 0 1 0
2009 5 17 1 0 0
2009 5 24 0 1 0
2009 5 31 0 0 1
2009 6 7 1 0 0
2009 6 14 1 0 0
2009 6 21 0 1 0
2009 6 28 0 0 1
2009 7 5 0 1 0
2009 7 12 0 0 1
2009 7 19 1 0 0
2009 7 26 0 1 0
2009 8 2 0 0 1
2009 8 9 1 0 0
2009 8 16 0 0 1
2009 8 23 0 0 1
2009 8 30 0 1 0
2009 9 6 1 0 0
2009 9 13 0 1 0
2009 9 20 0 0 1
2009 9 27 1 0 0
2009 10 4 0 1 0
2009 10 11 0 1 0
2009 10 18 0 0 1
2009 10 25 1 0 0
2009 11 8 0 1 0
2009 11 15 0 1 0
2009 11 22 0 0 1
2009 11 29 0 0 1
2009 12 6 1 0 0
2009 12 13 1 0 0
2009 12 20 0 1 0
2009 12 27 0 0 1
2010 1 10 0 1 0
2010 1 17 1 0 0
2010 1 24 0 0 1
2010 2 7 0 1 0
2010 2 14 1 0 0
2010 2 21 0 0 1
2010 2 28 0 0 1
2010 3 7 1 0 0
2010 3 14 0 1 0
2010 3 21 0 1 0
2010 3 28 0 0 1
2010 4 4 1 0 0
2010 4 11 1 0 0
2010 4 18 0 1 0
2010 4 25 0 0 1
2010 5 2 0 1 0
2010 5 9 0 0 1
2010 5 16 1 0 0
2010 5 23 0 0 1
2010 5 30 1 0 0
2010 6 6 0 1 0
2010 6 13 1 0 0
2010 6 20 0 1 0
2010 6 27 0 0 1
2010 7 4 0 1 0
2010 7 11 1 0 0
2010 7 18 0 0 1
2010 7 25 0 1 0
2010 8 1 0 0 1
2010 8 8 0 1 0
2010 8 15 1 0 0
2010 8 22 0 0 1
2010 8 29 0 1 0
2010 9 12 1 0 0
2010 9 19 1 0 0
2010 9 26 0 0 1
2010 10 3 0 1 0
2010 10 10 0 0 1
2010 10 17 0 0 1
2010 10 24 1 0 0
2010 10 31 0 1 0
2010 11 14 0 1 0
2010 11 21 0 0 1
2010 11 28 1 0 0
2010 12 5 1 0 0
2010 12 12 0 1 0
2010 12 19 0 0 1
2010 12 26 0 0 1
2011 1 2 0 1 0
2011 1 9 1 0 0
2011 1 16 0 0 1
2011 1 23 0 0 1
2011 1 30 1 0 0
2011 2 6 0 1 0
2011 2 13 1 0 0
2011 2 20 0 0 1
2011 2 27 0 1 0
2011 3 6 1 0 0
2011 3 20 0 0 1
2011 3 27 1 0 0
2011 4 3 0 1 0
2011 4 10 0 1 0
2011 4 17 0 0 1
2011 4 24 1 0 0
2011 5 1 0 1 0
2011 5 8 0 0 1
2011 5 15 0 0 1
2011 5 22 1 0 0
2011 5 29 1 0 0
2011 6 5 0 1 0
2011 6 12 0 0 1
2011 6 19 0 0 1
2011 6 26 1 0 0
2011 7 3 0 1 0
2011 7 10 1 0 0
2011 7 17 0 0 1
2011 7 24 0 1 0
2011 7 31 1 0 0
2011 8 7 0 1 0
2011 8 14 1 0 0
2011 8 21 0 0 1
2011 8 28 0 0 1
2011 9 4 0 1 0
2011 9 11 1 0 0
2011 9 18 0 0 1
2011 9 25 1 0 0
2011 10 2 0 1 0
2011 10 9 1 0 0
2011 10 16 0 1 0
2011 10 23 0 0 1
2011 10 30 1 0 0
2011 11 6 1 0 0
2011 11 13 0 1 0
2011 11 20 0 0 1
2011 11 27 0 0 1
2011 12 4 0 1 0
2011 12 11 1 0 0
2011 12 18 0 0 1
2011 12 25 0 0 1
2012 1 8 0 1 0
2012 1 15 1 0 0
2012 1 22 1 0 0
2012 1 29 0 1 0
2012 2 5 0 0 1
2012 2 19 0 0 1
2012 2 26 1 0 0
2012 3 4 0 1 0
2012 3 11 1 0 0
2012 3 18 0 0 1
2012 3 25 0 0 1
2012 4 1 0 1 0
2012 4 8 1 0 0
2012 4 15 0 0 1
2012 4 22 0 0 1
2012 4 29 0 1 0
2012 5 6 1 0 0
2012 5 13 0 1 0
2012 5 20 0 0 1
2012 5 27 1 0 0
2012 6 3 0 0 1
2012 6 10 0 1 0
2012 6 17 1 0 0
2012 6 24 0 0 1
2012 7 1 0 1 0
2012 7 8 0 0 1
2012 7 15 0 1 0
2012 7 22 0 1 0
2012 7 29 1 0 0
2012 8 12 1 0 0
2012 8 19 0 0 1
2012 8 26 0 0 1
2012 9 2 0 1 0
2012 9 9 1 0 0
2012 9 16 0 0 1
2012 9 23 0 0 1
2012 9 30 1 0 0
2012 10 7 0 1 0
2012 10 14 0 1 0
2012 10 21 0 0 1
2012 10 28 1 0 0
2012 11 4 1 0 0
2012 11 11 0 0 1
2012 11 18 0 1 0
2012 11 25 0 0 1
2012 12 2 0 1 0
2012 12 9 1 0 0
2012 12 23 0 1 0
2012 12 30 0 0 1
2013 1 6 0 1 0
2013 1 13 1 0 0
2013 1 20 1 0 0
2013 1 27 0 0 1
2013 2 3 0 1 0
2013 2 10 1 0 0
2013 2 17 0 0 1
2013 2 24 0 0 1
2013 3 3 0 1 0
2013 3 10 1 0 0
2013 3 17 0 1 0
2013 3 24 1 0 0
2013 3 31 0 0 1
2013 4 7 0 1 0
2013 4 14 0 0 1
2013 4 21 0 1 0
2013 4 28 0 0 1
2013 5 5 0 0 1
2013 5 12 0 1 0
2013 5 19 1 0 0
2013 5 26 1 0 0
2013 6 2 0 1 0
2013 6 9 0 0 1
2013 6 16 1 0 0
2013 6 23 0 1 0
2013 6 30 0 0 1
2013 7 7 0 1 0
2013 7 14 0 0 1
2013 7 21 1 0 0
2013 7 28 1 0 0
2013 8 4 0 1 0
2013 8 11 0 0 1
2013 8 25 0 0 1
2013 9 1 0 1 0
2013 9 8 1 0 0
2013 9 15 0 1 0
2013 9 22 0 0 1
2013 9 29 0 0 1
2013 10 6 0 1 0
2013 10 13 1 0 0
2013 10 20 1 0 0
